milliseconds	millivolts	milliamps
91895	12027	17
92695	12027	17
93545	12028	17
94385	12028	17
95195	12028	17
96045	12028	17
96887	12028	17
97695	12028	17
98545	12028	17
99389	12028	17
100196	12028	17
101046	12028	17
101891	12029	17
102697	12029	17
103546	12029	17
104403	12030	17
105198	12030	16
106046	12030	17
106896	12029	17
107710	12030	17
108546	12030	17
109396	12030	17
110213	12030	17
111046	12030	17
111896	12030	17
112715	12030	17
113546	12030	17
114396	12030	17
115227	12030	17
116046	12030	17
116897	12030	17
117731	12030	17
118547	12030	17
119397	12030	17
120233	12030	17
121047	12030	17
121897	12030	17
122736	12015	17
