start	duration	millivolts	milliamps
17375	900	12270	17
18375	900	12270	17
19376	900	12270	17
20376	900	12271	17
21376	900	12271	17
22376	900	12271	16
23376	900	12271	17
24376	900	12271	17
25376	902	12271	16
26376	900	12271	17
27376	900	12271	17
28376	900	12271	17
29376	900	12271	17
30376	900	12271	16
31376	900	12271	17
32376	900	12271	17
33376	900	12271	17
34376	900	12271	17
35377	900	12271	17
36377	900	12271	17
37377	900	12271	17
38377	900	12271	16
39377	900	12271	16
40377	900	12271	17
41377	900	12271	17
42377	900	12271	17
43377	900	12271	17
44377	900	12271	17
45377	900	12271	17
46377	900	12271	16
47377	900	12271	17
48377	900	12271	17
49377	900	12271	17
50377	900	12271	17
51383	894	12271	17
52378	899	12271	17
53378	899	12271	17
54378	900	12271	17
55378	900	12271	17
56378	900	12271	16
57378	900	12271	17
58378	900	12271	17
59378	900	12272	17
60378	900	12271	17
61378	900	12271	17
62378	900	12271	17
63378	900	12271	17
64378	900	12272	17
65378	900	12271	17
66378	900	12271	17
67378	900	12271	16
68379	900	12271	17
69379	900	12272	16
70379	900	12272	17
71379	900	12272	17
72379	900	12272	17
73379	900	12272	17
74379	900	12272	17
75379	900	12272	17
76379	900	12272	17
77379	900	12272	16
78379	900	12272	17
79379	900	12272	16
80379	900	12272	17
81379	900	12272	17
82379	900	12272	17
83379	900	12272	17
84380	900	12272	17
85380	900	12272	17
86380	900	12272	17
87380	900	12272	17
88380	900	12272	17
89380	900	12272	17
90380	900	12272	17
91380	900	12272	17
92380	900	12272	17
93380	900	12266	17
94380	900	12251	17
95380	900	11941	17
