dt	duration	millivolts	milliamps
31807	1000	11979	17
32807	1000	11980	17
33807	1000	11980	17
34807	1000	11980	17
35807	1000	11980	16
36807	1000	11980	17
37807	1000	11980	17
38807	1000	11980	17
39808	1000	11980	17
40808	1000	11980	17
41808	1000	11980	17
42808	1000	11980	17
43808	1000	11980	17
44808	1000	11980	17
45808	1000	11996	17
46808	1000	12019	17
47808	1000	12005	17
48808	1000	12005	17
49808	1000	12004	17
50808	1000	12003	17
51808	1000	12003	17
52808	1000	12003	17
53808	1000	12003	17
54808	1000	12003	17
55809	1000	12003	17
56809	1000	12002	17
57809	1000	12002	16
58809	1000	12002	17
59809	1000	12002	17
60809	1000	12002	17
61809	1000	12002	17
62809	1000	12002	17
63809	1000	12002	17
64809	1000	12002	17
65809	1000	12002	17
66809	1000	12002	17
67809	1000	12002	17
68809	1000	12002	17
69809	1000	12002	17
70809	1000	12002	17
71809	1000	12002	17
72810	1000	12002	17
73810	1000	12002	17
74810	1000	12002	17
75810	1000	12002	17
76810	1000	12002	17
77810	1000	12002	17
78810	1000	12002	17
79810	1000	12002	17
80810	1000	12002	17
81810	1000	12002	17
82810	1000	12002	17
83810	1000	12002	17
84810	1000	12002	17
85810	1000	12002	17
86810	1000	12002	17
87810	1000	12002	17
88811	1000	12002	17
89811	1000	12002	17
90811	1000	12002	17
91811	1000	12002	17
92811	1000	12002	17
93811	1000	12002	17
94811	1000	12002	17
95811	1000	12002	17
96811	1000	12002	17
97811	1000	12002	17
98811	1000	12002	17
99811	1000	12002	17
100811	1000	12002	17
101811	1000	12002	17
102811	1000	12002	17
103811	1000	12002	17
104812	1000	12002	17
105812	1000	12002	17
106812	1000	12002	17
107812	1000	12002	17
108812	1000	12001	17
109812	1000	12002	17
110812	1000	12002	17
111812	1000	12002	17
112812	1000	12002	17
113812	1000	12002	17
114812	1000	12002	17
115817	1005	12002	17
116812	994	12002	17
117825	1013	12002	17
118819	993	12002	17
119812	993	12002	17
120812	1000	12002	17
121813	1000	12002	17
122813	1000	12002	17
123813	1000	12002	17
124813	1000	12002	17
125813	1000	12002	17
126813	1000	12002	17
127813	1000	12002	17
128813	1000	12002	17
129813	1000	12002	17
130813	1000	12002	17
131813	1000	12002	17
132813	1000	12002	17
133813	1000	12002	17
134813	1000	12002	17
135813	1000	12002	17
136813	1000	12002	17
137814	1000	12002	17
138814	1000	12002	17
139814	1000	12002	17
140814	1000	12002	17
141814	1000	12002	17
142814	1000	12002	17
143814	1000	12002	17
144814	1000	12002	17
145814	1000	12002	17
146814	1000	12002	17
147814	1000	12002	17
148814	1000	12002	17
149814	1000	12002	17
150814	1000	12002	17
151814	1000	12002	17
152814	1000	12002	17
153815	1000	12002	17
154815	1000	12002	17
155815	1000	12002	17
156815	1000	12002	17
157815	1000	12002	17
158815	1000	12002	17
159815	1000	12002	17
160815	1000	12002	17
161815	1000	12002	17
162815	1000	12002	17
163815	1000	12002	17
164815	1000	12002	17
165815	1000	12002	17
166815	1000	12002	17
167815	1000	12002	17
168815	1000	12002	17
169815	1000	12002	17
170816	1000	12002	17
171816	1000	12002	17
172816	1000	12002	17
173816	1000	12002	17
174816	1000	12002	17
175816	1000	12002	17
176816	1000	12002	17
177816	1000	12002	17
178816	1000	12002	17
179816	1000	12002	17
180816	1000	12002	17
181816	1000	12002	17
182816	1000	12002	17
183816	1000	12002	17
184816	1000	12002	17
185816	1000	12002	17
186817	1000	12002	17
187817	1000	12002	17
188817	1000	12002	17
189817	1000	12002	17
190817	1000	12002	17
191817	1000	12002	17
192817	1000	12002	17
193817	1000	12002	17
194817	1000	12002	17
195817	1000	12002	17
196817	1000	12002	17
197817	1000	12002	17
198817	1000	12002	17
199817	1000	12002	17
200817	1000	12002	17
201817	1000	12002	17
202817	1000	12002	17
203818	1000	12001	17
204818	1000	12002	17
205818	1000	12002	17
206818	1000	12002	17
207818	1000	12002	17
208818	1000	12001	17
209818	1000	12002	17
210818	1000	12002	17
211818	1000	12002	17
212818	1000	12001	17
213818	1000	12002	17
214818	1000	12001	17
215818	1000	12001	17
216818	1000	12002	17
217818	1000	12002	17
218818	1000	12002	17
219819	1000	12002	17
220819	1000	12002	17
221819	1000	12002	17
222819	1000	12001	17
223819	1000	12002	17
224819	1000	12002	17
225819	1000	12001	17
226819	1000	12002	17
227819	1000	12002	17
228819	1000	12002	17
229819	1000	12001	17
230819	1000	12002	17
231819	1000	12002	17
232819	1000	12001	17
233819	1000	12001	17
234819	1000	12002	17
235820	1000	12001	17
236820	1000	12002	17
237820	1000	12001	17
238820	1000	12002	17
239820	1000	12002	17
240820	1000	12002	17
241820	1000	12002	17
242823	1002	12002	17
243820	997	12002	17
244830	1010	12002	17
245824	993	12002	17
246820	995	12002	17
247820	1000	12002	17
248820	1000	12002	17
249820	1000	12002	17
250820	1000	12002	17
251820	1000	12002	17
252821	1000	12002	17
253821	1000	12002	17
254821	1000	12002	17
255821	1000	12002	17
256821	1000	12002	17
257821	1000	12002	17
258821	1000	12001	17
259821	1000	12001	17
260821	1000	12002	17
261821	1000	12002	17
262821	1000	12002	17
263821	1000	12002	17
264821	1000	12001	17
265821	1000	12002	17
266821	1000	12001	17
267821	1000	12002	17
268822	1000	12002	17
269822	1000	12001	17
270822	1000	12002	17
271822	1000	12001	17
272822	1000	12002	17
273822	1000	12002	17
274822	1000	12002	17
275822	1000	12002	17
276822	1000	12002	17
277822	1000	12002	17
278822	1000	12001	17
279822	1000	12002	17
280822	1000	12002	17
281822	1000	12001	17
282822	1000	12001	17
283822	1000	12001	17
284822	1000	12002	17
285823	1000	12002	17
286823	1000	12001	17
287823	1000	12002	17
288823	1000	12001	17
289823	1000	12001	17
290823	1000	12001	17
291823	1000	12001	17
292823	1000	12001	17
293823	1000	12001	17
294823	1000	12001	17
295823	1000	12001	17
296823	1000	12001	17
297823	1000	12001	17
298823	1000	12001	17
299823	1000	12001	17
300823	1000	12001	17
301824	1000	12001	17
302824	1000	12001	17
303824	1000	12001	17
304824	1000	12001	17
305824	1000	12001	17
306824	1000	12001	17
307824	1000	11910	17
308824	1000	11810	17
309824	1000	11807	17
310824	1000	11806	17
311824	1000	11806	17
